ensembl_peptide_id hgnc_symbol
ENSP00000000412 M6PR
ENSP00000006777 RHBDD2
ENSP00000007516 NDUFAB1
ENSP00000012134 HIVEP2
ENSP00000056217 ARHGEF5
ENSP00000160382 ACTL6B
ENSP00000161559 CEACAM1
ENSP00000175238 ADAM7
ENSP00000178640 MAP2K5
ENSP00000181383 CPB2
ENSP00000200652 SLC22A4
ENSP00000205214 AASDH
ENSP00000209668 ADH1A
ENSP00000211287 MAPK13
ENSP00000215659 MAPK12
ENSP00000215832 MAPK1
ENSP00000216085 RHBDD3
ENSP00000216144 CABP7
ENSP00000216194 ADSL
ENSP00000216267 BRD1
ENSP00000216341 GZMB
ENSP00000216840 RABGGTA
ENSP00000217133 TUBB1
ENSP00000217260 RSPO4
ENSP00000219069 ZNF263
ENSP00000219244 CCL17
ENSP00000219313 PSMD7
ENSP00000219481 DECR2
ENSP00000219548 STUB1
ENSP00000220429 GABPB1
ENSP00000220764 DECR1
ENSP00000221138 PPP2CB
ENSP00000221486 RNASEH2A
ENSP00000222115 HAS1
ENSP00000222286 GAPDHS
ENSP00000222902 CCL24
ENSP00000223862 RLN1
ENSP00000224784 ACTA2
ENSP00000225519 SHPK
ENSP00000229239 GAPDH
ENSP00000229595 ASF1A
ENSP00000229794 MAPK14
ENSP00000229971 FBXL4
ENSP00000230431 DNPH1
ENSP00000232975 TNNC1
ENSP00000233535 SLC30A3
ENSP00000234313 PLEK
ENSP00000235329 MFN2
ENSP00000235345 SLC35D1
ENSP00000239882 ELF1
ENSP00000240285 RDH10
ENSP00000246229 PLAGL2
ENSP00000248437 TUBA4A
ENSP00000251607 TRNT1
ENSP00000252071 ACTR3C
ENSP00000252211 ZKSCAN3
ENSP00000252506 GADD45G
ENSP00000252599 COLGALT1
ENSP00000252898 TNNI2
ENSP00000253270 SLC35D2
ENSP00000253799 AOC2
ENSP00000254286 ACTR10
ENSP00000254801 JCHAIN
ENSP00000255008 SSTR4
ENSP00000255189 DMGDH
ENSP00000256001 ACTR3B
ENSP00000257254 APLNR
ENSP00000257552 MSI1
ENSP00000257981 KCNH3
ENSP00000258416 EIF4E2
ENSP00000258829 NKX2-8
ENSP00000259199 CBWD2
ENSP00000259818 TUBB2B
ENSP00000259874 IER3
ENSP00000261369 SNX24
ENSP00000261416 HEXB
ENSP00000261438 KLF3
ENSP00000261465 HSD11B1
ENSP00000261643 COX10
ENSP00000261712 PSMD11
ENSP00000261741 RBM19
ENSP00000261845 MAPK6
ENSP00000261980 VSX2
ENSP00000262290 LPO
ENSP00000262316 RHBDF1
ENSP00000262366 GLIS2
ENSP00000262442 DNAH9
ENSP00000262545 PCSK2
ENSP00000262746 PRDX1
ENSP00000262794 MOV10L1
ENSP00000262811 MAST3
ENSP00000262888 KCNN4
ENSP00000262948 MAP2K2
ENSP00000263025 MAPK3
ENSP00000263150 WDR37
ENSP00000263238 ACTR3
ENSP00000263278 HSD17B14
ENSP00000263382 ASF1B
ENSP00000263383 ILVBL
ENSP00000263390 MED26
ENSP00000263577 CDON
ENSP00000263857 POLR1A
ENSP00000263969 MFN1
ENSP00000264059 EFHD1
ENSP00000264071 TUBB4A
ENSP00000264193 CPOX
ENSP00000264198 MUL1
ENSP00000264658 FBXL20
ENSP00000264661 KCNH4
ENSP00000264773 KCNN2
ENSP00000264952 GRK7
ENSP00000265073 SUB1
ENSP00000265164 CASP6
ENSP00000265304 SSBP1
ENSP00000265322 PECR
ENSP00000265512 ADH4
ENSP00000265563 PRKAR2A
ENSP00000265689 CHKA
ENSP00000265717 PRKAR2B
ENSP00000265769 ADAM28
ENSP00000266269 PATZ1
ENSP00000266517 ETNK1
ENSP00000266674 LGR5
ENSP00000267260 SRRM4
ENSP00000267377 SSTR1
ENSP00000267502 RDH12
ENSP00000267996 TPM1
ENSP00000268097 HEXA
